x,y,s
3.98,2.62,0
-1.7,-2.21,1
-1.5,-0.71,1
-6.3,-0.2,6
2.35,1.64,0
-6.56,-4.01,5
-5.93,-0.86,6
-6.37,-0.47,6
1.0,0.81,0
-1.59,-0.92,1
1.86,1.74,0
1.68,1.98,0
3.99,2.28,0
-1.74,-1.98,1
-6.48,-0.49,6
-6.46,-0.49,6
-1.08,-0.5,1
-2.09,-2.37,1
-7.12,-2.84,5
1.84,1.97,0
1.87,2.63,0
1.69,1.94,0
-7.04,-3.03,5
-5.46,-0.79,6
-5.05,-1.37,6
-6.36,-3.9,5
-0.63,-1.07,1
0.54,-0.17,1
-6.49,-0.26,6
1.87,2.35,0
-4.86,-0.73,1
6.64,3.78,3
-5.04,-2.92,6
-6.06,-3.24,5
-1.79,-1.17,1
-6.84,-3.9,5
2.2,2.14,0
-6.47,-0.16,6
4.58,3.0,0
-6.44,0.07,6
5.17,4.12,3
-6.5,-1.48,6
3.04,2.57,0
-5.98,-4.13,5
-6.76,-3.82,5
-6.18,-5.1,5
-6.55,-1.71,6
1.39,1.45,0
-3.94,-4.13,5
1.17,2.11,0
-6.04,-1.74,6
-6.3,-0.64,6
-5.98,0.0,6
0.66,0.77,0
-5.84,-0.55,6
-7.16,-3.78,5
-6.3,-4.98,5
-6.91,-2.66,5
1.61,1.64,0
-7.08,-3.95,5
-5.68,-0.67,6
-1.38,-0.94,1
-5.59,-4.9,5
1.39,1.71,0
-1.69,-0.79,0
-6.67,-0.6,6
3.34,2.45,0
1.63,2.43,0
-1.26,-2.28,1
-5.97,-0.49,6
-0.42,0.01,1
-1.26,-1.12,1
-5.86,-0.49,6
-1.82,-1.8,1
-5.91,-2.55,6
-4.51,-3.47,5
-1.44,-1.0,1
-6.34,-0.38,6
-3.67,-2.32,5
-6.92,-3.37,5
-6.46,-1.34,6
-4.11,-3.28,5
-4.93,-3.72,5
-6.45,-0.32,6
1.57,1.98,0
2.62,1.86,0
-0.42,-1.12,1
-6.94,-3.04,5
-5.35,-3.3,5
-0.92,-1.59,1
4.58,2.94,0
2.05,2.01,0
-5.35,0.13,6
