UMAP_1,UMAP_2,state
0.874,-2.133,CD8_c4_Tstr
0.453,-2.08,CD8_c4_Tstr
-0.345,-0.994,CD8_c4_Tstr
0.176,-1.316,CD8_c4_Tstr
0.869,-2.067,CD8_c4_Tstr
0.686,-1.725,CD8_c4_Tstr
0.099,-1.505,CD8_c4_Tstr
0.529,-1.781,CD8_c4_Tstr
-0.447,-1.067,CD8_c4_Tstr
1.356,-0.22,CD8_c0_t-Teff
0.474,-1.663,CD8_c4_Tstr
0.657,-1.646,CD8_c4_Tstr
0.463,-1.577,CD8_c4_Tstr
-0.568,-0.866,CD8_c4_Tstr
0.474,-1.59,CD8_c4_Tstr
0.798,-1.581,CD8_c4_Tstr
2.207,0.575,CD8_c0_t-Teff
0.365,-1.695,CD8_c4_Tstr
0.332,-1.388,CD8_c4_Tstr
-0.35,-1.107,CD8_c4_Tstr
0.569,-1.762,CD8_c4_Tstr
0.623,-1.572,CD8_c4_Tstr
0.076,-1.174,CD8_c4_Tstr
0.633,-1.665,CD8_c4_Tstr
0.653,-1.603,CD8_c4_Tstr
0.514,-1.564,CD8_c4_Tstr
0.598,-1.621,CD8_c4_Tstr
0.582,-1.77,CD8_c4_Tstr
-0.101,-1.227,CD8_c4_Tstr
0.758,-0.988,CD8_c4_Tstr
0.358,-1.502,CD8_c4_Tstr
0.742,-1.64,CD8_c4_Tstr
0.481,-1.691,CD8_c4_Tstr
-0.537,-0.851,CD8_c4_Tstr
0.625,-1.721,CD8_c4_Tstr
2.968,0.652,CD8_c0_t-Teff
0.411,-1.55,CD8_c4_Tstr
0.257,-1.115,CD8_c4_Tstr
0.561,-1.66,CD8_c4_Tstr
1.41,-0.109,CD8_c0_t-Teff
0.724,-1.816,CD8_c4_Tstr
0.594,-1.558,CD8_c4_Tstr
-0.146,-1.31,CD8_c4_Tstr
-0.053,-1.347,CD8_c4_Tstr
0.372,-1.604,CD8_c4_Tstr
0.025,-1.46,CD8_c4_Tstr
0.682,-1.685,CD8_c4_Tstr
0.468,-1.877,CD8_c4_Tstr
0.67,-1.46,CD8_c4_Tstr
0.569,-1.514,CD8_c4_Tstr
0.558,-1.598,CD8_c4_Tstr
0.371,-1.748,CD8_c4_Tstr
0.791,-1.732,CD8_c4_Tstr
0.675,-1.626,CD8_c4_Tstr
0.597,-1.609,CD8_c4_Tstr
0.237,-1.163,CD8_c4_Tstr
0.188,-1.248,CD8_c4_Tstr
-0.366,-1.033,CD8_c4_Tstr
0.786,-1.669,CD8_c4_Tstr
0.676,-1.645,CD8_c4_Tstr
0.584,-2.176,CD8_c4_Tstr
-0.319,-1.069,CD8_c4_Tstr
-1.175,0.193,CD8_c4_Tstr
0.455,-1.391,CD8_c4_Tstr
0.503,-1.556,CD8_c4_Tstr
-0.434,-0.95,CD8_c4_Tstr
1.008,-1.415,CD8_c4_Tstr
-1.031,-0.449,CD8_c4_Tstr
-0.255,-1.146,CD8_c4_Tstr
-0.71,-0.777,CD8_c4_Tstr
-0.175,-1.073,CD8_c4_Tstr
-0.852,-0.573,CD8_c4_Tstr
0.762,-1.641,CD8_c4_Tstr
-0.372,-1.106,CD8_c4_Tstr
0.174,-1.476,CD8_c4_Tstr
0.617,-1.884,CD8_c4_Tstr
0.359,-1.688,CD8_c4_Tstr
0.57,-1.771,CD8_c4_Tstr
0.001,-1.476,CD8_c4_Tstr
0.822,-1.511,CD8_c4_Tstr
-0.297,-1.084,CD8_c4_Tstr
0.589,-1.708,CD8_c4_Tstr
1.896,0.612,CD8_c0_t-Teff
0.296,-1.243,CD8_c4_Tstr
0.6,-1.625,CD8_c4_Tstr
0.479,-1.816,CD8_c4_Tstr
4.998,1.244,CD8_c3_Tn
2.6,-0.643,CD8_c0_t-Teff
1.14,-2.672,CD8_c4_Tstr
0.908,-2.365,CD8_c4_Tstr
-4.298,-5.866,CD8_c1_Tex
4.112,1.502,CD8_c0_t-Teff
4.857,1.294,CD8_c3_Tn
1.29,-2.748,CD8_c4_Tstr
1.359,-2.536,CD8_c4_Tstr
3.194,1.463,CD8_c0_t-Teff
0.835,-2.094,CD8_c4_Tstr
1.08,-2.751,CD8_c4_Tstr
1.183,-2.175,CD8_c4_Tstr
3.884,1.122,CD8_c0_t-Teff
3.572,1.143,CD8_c0_t-Teff
-0.34,-5.848,CD8_c5_Tisg
7.194,2.035,CD8_c3_Tn
3.156,-0.982,CD8_c0_t-Teff
1.042,-3.032,CD8_c4_Tstr
1.145,-2.128,CD8_c0_t-Teff
3.245,1.47,CD8_c0_t-Teff
2.612,1.173,CD8_c11_Teff_SEMA4A
3.514,1.699,CD8_c0_t-Teff
3.332,0.852,CD8_c0_t-Teff
3.562,1.17,CD8_c0_t-Teff
7.16,1.502,CD8_c3_Tn
3.383,1.484,CD8_c0_t-Teff
-4.107,-5.519,CD8_c1_Tex
6.884,1.347,CD8_c3_Tn
3.265,1.354,CD8_c0_t-Teff
3.443,1.495,CD8_c0_t-Teff
3.726,1.537,CD8_c0_t-Teff
7.149,1.432,CD8_c3_Tn
3.732,1.183,CD8_c0_t-Teff
3.591,1.145,CD8_c0_t-Teff
3.467,1.493,CD8_c0_t-Teff
7.038,1.795,CD8_c3_Tn
-4.228,-5.847,CD8_c1_Tex
2.461,1.035,CD8_c0_t-Teff
4.08,0.435,CD8_c0_t-Teff
6.601,1.978,CD8_c3_Tn
3.207,1.777,CD8_c0_t-Teff
3.721,1.498,CD8_c0_t-Teff
3.689,1.247,CD8_c0_t-Teff
3.368,1.493,CD8_c0_t-Teff
3.46,1.428,CD8_c0_t-Teff
3.907,1.324,CD8_c3_Tn
3.829,1.174,CD8_c0_t-Teff
2.578,1.216,CD8_c0_t-Teff
5.971,1.034,CD8_c3_Tn
3.167,1.136,CD8_c0_t-Teff
-4.005,-5.91,CD8_c1_Tex
3.792,0.98,CD8_c0_t-Teff
-3.326,-6.438,CD8_c1_Tex
7.153,1.792,CD8_c3_Tn
3.319,1.649,CD8_c0_t-Teff
3.648,1.18,CD8_c0_t-Teff
3.853,1.433,CD8_c0_t-Teff
4.585,1.207,CD8_c0_t-Teff
3.359,1.357,CD8_c0_t-Teff
3.765,1.334,CD8_c0_t-Teff
-4.467,-5.488,CD8_c1_Tex
-4.002,-5.899,CD8_c1_Tex
3.298,1.092,CD8_c0_t-Teff
3.261,1.215,CD8_c0_t-Teff
3.733,1.317,CD8_c0_t-Teff
3.392,1.485,CD8_c0_t-Teff
5.261,1.43,CD8_c3_Tn
4.066,1.362,CD8_c0_t-Teff
3.592,1.011,CD8_c0_t-Teff
3.044,1.493,CD8_c0_t-Teff
3.243,1.082,CD8_c0_t-Teff
3.522,1.199,CD8_c0_t-Teff
3.483,1.081,CD8_c0_t-Teff
3.311,1.14,CD8_c0_t-Teff
3.436,1.098,CD8_c0_t-Teff
3.29,1.013,CD8_c0_t-Teff
3.035,1.394,CD8_c0_t-Teff
3.578,1.072,CD8_c0_t-Teff
4.316,1.283,CD8_c0_t-Teff
3.612,1.188,CD8_c0_t-Teff
3.472,1.254,CD8_c0_t-Teff
4.498,1.596,CD8_c0_t-Teff
3.638,1.09,CD8_c0_t-Teff
3.157,1.364,CD8_c0_t-Teff
3.141,1.632,CD8_c0_t-Teff
3.366,1.501,CD8_c0_t-Teff
3.591,0.951,CD8_c0_t-Teff
2.934,1.102,CD8_c0_t-Teff
4.126,1.187,CD8_c0_t-Teff
5.64,1.415,CD8_c3_Tn
-0.616,-0.578,CD8_c4_Tstr
1.081,-2.438,CD8_c4_Tstr
1.174,-2.887,CD8_c4_Tstr
0.84,-2.43,CD8_c4_Tstr
1.192,-2.671,CD8_c4_Tstr
1.242,-2.575,CD8_c4_Tstr
0.338,3.42,CD8_c0_t-Teff
1.421,-2.605,CD8_c4_Tstr
1.105,-2.54,CD8_c4_Tstr
1.009,-2.686,CD8_c4_Tstr
0.874,-2.69,CD8_c4_Tstr
0.923,-2.604,CD8_c4_Tstr
0.993,-2.607,CD8_c4_Tstr
7.601,2.192,CD8_c3_Tn
5.726,1.36,CD8_c3_Tn
-0.854,2.871,CD8_c0_t-Teff
6.869,1.482,CD8_c3_Tn
2.58,1.611,CD8_c0_t-Teff
7.004,1.46,CD8_c3_Tn
2.637,1.453,CD8_c0_t-Teff
6.868,1.193,CD8_c3_Tn
7.098,1.591,CD8_c3_Tn
6.553,3.027,CD8_c12_Trm
3.584,1.206,CD8_c0_t-Teff
3.719,1.214,CD8_c0_t-Teff
9.136,1.836,CD8_c3_Tn
8.539,1.942,CD8_c3_Tn
8.627,2.205,CD8_c3_Tn
