hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
6.311,1.49,31,CD8_c3_Tn,1.0,0.039,1.398,0.0,0.127,0.0,0.0,0.557,0.142,2.32,0.039,1.309,0.673,0.093,0.0,0.538,0.518,0.292,1.043,0.415,0.187,0.336,0.069,0.0,0.0
3.729,0.994,220,CD8_c0_t-Teff,0.986,0.145,1.171,0.17,0.024,0.677,0.069,1.237,0.151,2.448,0.236,0.879,0.135,0.176,0.401,0.933,0.953,0.263,0.248,0.407,0.089,0.464,0.027,0.166,0.334
8.319,1.987,61,CD8_c3_Tn,1.0,0.0,0.454,0.06,0.024,0.04,0.026,0.583,0.125,1.116,0.193,0.798,0.794,0.0,0.082,0.046,0.259,0.05,1.003,0.076,0.147,0.607,0.0,0.045,0.0
8.032,1.987,52,CD8_c3_Tn,1.0,0.029,0.44,0.0,0.028,0.091,0.0,0.56,0.148,1.263,0.108,0.899,0.653,0.026,0.125,0.049,0.136,0.097,0.859,0.12,0.052,0.864,0.0,0.026,0.0
5.88,1.242,90,CD8_c3_Tn,0.956,0.0,1.759,0.03,0.042,0.067,0.032,1.15,0.104,2.411,0.075,1.466,0.776,0.04,0.246,0.613,0.541,0.435,1.204,0.732,0.171,0.848,0.004,0.048,0.052
8.175,2.236,101,CD8_c3_Tn,1.0,0.0,0.321,0.032,0.0,0.022,0.0,0.476,0.112,0.788,0.105,0.709,0.507,0.0,0.073,0.057,0.087,0.077,0.625,0.123,0.0,0.379,0.0,0.0,0.03
0.574,-2.981,28,CD8_c4_Tstr,0.929,0.05,1.004,0.4,0.411,1.271,0.686,0.971,0.347,0.557,0.44,0.306,0.0,0.765,0.83,2.143,0.919,0.107,0.138,0.124,0.053,0.104,0.42,0.327,0.56
3.442,1.49,92,CD8_c0_t-Teff,1.0,0.04,1.299,0.408,0.032,0.08,0.035,0.931,0.106,2.711,0.2,0.769,0.202,0.226,0.271,1.047,0.934,0.635,0.326,0.379,0.065,0.487,0.056,0.063,0.303
6.884,0.994,76,CD8_c3_Tn,0.987,0.031,0.399,0.176,0.035,0.083,0.11,0.457,0.223,1.797,0.284,0.824,0.41,0.091,0.24,0.537,0.217,0.363,1.023,0.403,0.066,0.597,0.046,0.0,0.021
0.0,-5.962,257,CD8_c5_Tisg,0.992,0.069,1.391,0.14,0.075,0.076,0.076,0.71,0.171,1.994,0.128,0.78,0.367,0.139,0.128,1.318,0.299,0.231,0.959,0.466,0.143,0.652,0.069,0.02,0.036
8.175,1.739,88,CD8_c3_Tn,1.0,0.015,0.779,0.0,0.004,0.021,0.012,0.471,0.123,1.582,0.185,1.243,1.111,0.0,0.038,0.09,0.304,0.171,1.173,0.274,0.048,1.098,0.0,0.019,0.053
-2.295,-6.459,141,CD8_c1_Tex,1.0,0.118,0.946,0.337,0.134,0.45,0.23,0.656,0.133,0.79,0.316,0.221,0.071,0.299,0.728,1.374,0.317,0.062,0.106,0.354,0.401,0.361,0.284,0.141,0.239
5.593,1.242,83,CD8_c3_Tn,1.0,0.099,1.794,0.008,0.027,0.069,0.031,1.138,0.232,2.506,0.152,1.587,0.689,0.028,0.147,0.876,0.667,0.491,1.213,0.539,0.177,0.838,0.02,0.01,0.027
5.45,1.49,6,CD8_c3_Tn,1.0,0.0,1.357,0.0,0.0,0.0,0.0,1.171,0.0,2.57,0.0,0.473,0.176,0.129,0.553,0.426,1.062,0.161,0.881,0.29,0.0,0.176,0.0,0.0,0.0
