hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
-6.535,-4.716,16,CD8.TEX,1.0,0.142,1.181,1.404,0.885,2.965,1.209,1.591,0.316,0.493,1.43,0.0,0.0,1.402,1.636,2.112,0.99,0.0,0.064,0.562,0.202,0.066,0.451,0.118,0.602
-6.671,-3.065,26,CD8.TEX,1.0,0.0,0.721,0.932,1.112,2.17,0.463,1.06,0.41,0.565,1.31,0.177,0.0,0.752,1.072,1.444,0.999,0.0,0.0,0.549,0.143,0.133,0.311,0.355,0.689
2.314,2.122,8,CD8.CM,1.0,0.165,0.0,0.148,0.0,0.314,0.0,0.682,0.148,1.899,0.382,1.033,0.0,0.153,0.695,0.665,1.044,0.273,0.354,1.362,0.153,1.378,0.205,0.0,0.477
1.77,1.651,13,CD8.CM,0.923,0.0,0.522,0.292,0.0,0.561,0.0,0.347,0.35,0.736,0.778,0.471,0.0,0.439,0.09,0.66,0.55,0.09,0.088,0.809,0.19,0.87,0.344,0.26,0.637
5.582,3.537,18,CD8.NaiveLike,0.722,0.142,0.542,0.142,0.199,0.138,0.0,0.579,0.209,2.585,0.481,1.129,0.391,0.204,0.22,0.506,0.462,0.556,0.66,0.279,0.285,0.773,0.0,0.409,0.591
-6.671,-1.179,10,CD8.TPEX,1.0,0.0,0.748,0.525,1.045,0.879,0.0,0.982,0.279,1.26,1.284,0.0,0.0,0.312,0.733,0.83,0.762,0.209,0.081,0.231,0.094,0.661,0.236,1.882,0.34
-5.718,-3.301,21,CD8.TEX,1.0,0.0,1.355,0.967,0.726,2.158,0.825,0.732,0.584,0.363,1.095,0.205,0.0,0.526,1.148,1.143,0.708,0.0,0.161,0.901,0.13,0.0,0.409,0.342,0.636
-6.807,-3.301,24,CD8.TEX,1.0,0.0,0.674,1.683,0.625,2.33,0.661,1.008,0.314,0.544,1.226,0.0,0.21,0.969,1.09,1.428,1.293,0.0,0.0,0.804,0.298,0.2,0.408,0.531,0.404
-1.361,-1.886,23,CD8.EM,0.957,0.0,1.184,0.426,0.0,0.443,0.203,0.596,0.132,0.424,0.808,0.402,0.064,0.514,0.964,1.035,0.647,0.238,0.266,0.6,0.204,0.383,0.388,0.52,0.368
3.404,2.594,6,CD8.CM,1.0,0.0,1.303,0.0,0.0,0.0,0.0,0.277,0.194,2.577,1.316,1.04,0.0,0.241,0.0,0.396,0.909,0.944,0.0,0.448,0.254,0.97,0.0,0.652,0.414
