UMAP_1,UMAP_2,state
-0.194,-1.468,CD8.CM
-5.847,-3.703,CD8.TEX
4.959,3.587,CD8.CM
2.86,1.797,CD8.CM
3.584,2.73,CD8.CM
-6.823,-1.804,CD8.TPEX
-5.142,-3.92,CD8.TEX
-1.657,-1.072,CD8.EM
-4.473,-4.646,CD8.TEX
-6.162,-3.187,CD8.TEX
2.327,1.919,CD8.CM
-6.78,-3.75,CD8.TEX
-6.912,-3.402,CD8.TEX
-6.797,-2.263,CD8.TEX
-6.031,-0.642,CD8.TPEX
1.327,3.617,CD8.CM
-6.937,-2.153,CD8.TPEX
-5.902,-3.546,CD8.TEX
-6.571,-0.051,CD8.TPEX
1.596,1.651,CD8.CM
-3.25,-1.597,CD8.EM
-6.816,-3.528,CD8.TEX
-1.446,-1.112,CD8.EM
0.466,0.291,CD8.CM
-4.876,-0.023,CD8.TPEX
1.596,1.685,CD8.CM
-5.936,-0.537,CD8.TPEX
-3.875,-2.717,CD8.TEX
-6.878,-2.626,CD8.TEX
1.692,3.69,CD8.CM
2.579,2.0,CD8.CM
-5.694,-4.251,CD8.TEX
-5.169,-4.545,CD8.TEX
-7.086,-3.572,CD8.TEX
2.17,1.916,CD8.CM
-6.237,-4.43,CD8.TEX
-0.352,-2.897,CD8.EM
2.23,2.527,CD8.CM
-6.179,-3.376,CD8.TEX
-6.397,-0.217,CD8.TPEX
-6.096,-0.954,CD8.TPEX
1.847,2.554,CD8.CM
0.797,1.055,CD8.CM
5.896,3.513,CD8.NaiveLike
-6.57,-0.401,CD8.TPEX
4.515,3.945,CD8.NaiveLike
-6.504,-0.896,CD8.TPEX
1.548,1.737,CD8.CM
-3.996,-3.826,CD8.TEX
-5.997,-0.279,CD8.TPEX
1.648,2.269,CD8.CM
-6.344,-4.414,CD8.TEX
-6.978,-2.068,CD8.TPEX
-4.458,-0.026,CD8.TPEX
-6.01,0.112,CD8.TPEX
-6.597,-3.678,CD8.TEX
-5.537,-4.637,CD8.TEX
-6.35,-1.089,CD8.TPEX
-6.582,-4.238,CD8.TEX
-5.81,-3.574,CD8.TEX
-6.428,-0.06,CD8.TPEX
-5.823,-0.735,CD8.TPEX
-3.743,-3.765,CD8.TEX
-5.298,-3.498,CD8.TEX
-4.869,-4.111,CD8.TEX
6.6,4.796,CD8.NaiveLike
-5.717,-3.308,CD8.TEX
-6.583,-4.896,CD8.TEX
1.697,1.82,CD8.CM
-6.183,-0.463,CD8.TPEX
1.265,3.174,CD8.CM
-5.052,-4.76,CD8.TEX
-4.735,-3.442,CD8.TEX
-0.583,-2.775,CD8.EM
-0.672,-0.267,CD8.EM
-6.579,-3.58,CD8.TEX
-4.031,-3.669,CD8.TEX
-6.385,-3.74,CD8.TEX
1.379,3.085,CD8.CM
-6.22,-0.131,CD8.TPEX
-7.151,-2.467,CD8.TEX
1.655,2.141,CD8.CM
-6.576,-0.141,CD8.TPEX
-5.27,-2.99,CD8.TEX
5.338,3.201,CD8.NaiveLike
4.869,2.757,CD8.CM
-0.603,-0.521,CD8.EM
2.568,1.736,CD8.CM
2.078,3.018,CD8.CM
-5.777,-1.53,CD8.TPEX
-6.613,-2.088,CD8.TPEX
1.659,2.557,CD8.CM
2.377,2.945,CD8.CM
-6.615,-4.745,CD8.TEX
-5.823,-0.736,CD8.TPEX
4.549,4.435,CD8.CM
-5.602,-0.028,CD8.TPEX
1.624,2.133,CD8.CM
-6.248,-3.158,CD8.TEX
5.016,4.122,CD8.NaiveLike
-7.166,-3.596,CD8.TEX
7.226,4.504,CD8.NaiveLike
-0.324,-0.452,CD8.EM
-6.005,-3.103,CD8.TEX
-6.463,-1.444,CD8.TPEX
-7.14,-4.18,CD8.TEX
-6.569,-3.825,CD8.TEX
-6.856,-0.964,CD8.TPEX
-6.154,-3.079,CD8.TEX
-6.291,-3.82,CD8.TEX
-1.043,-1.607,CD8.EM
4.856,2.828,CD8.NaiveLike
-6.495,-0.344,CD8.TPEX
-0.192,-0.331,CD8.EM
-6.462,-0.681,CD8.TPEX
-6.172,-0.505,CD8.TPEX
-4.73,-3.458,CD8.TEX
-3.824,-1.142,CD8.CM
6.053,-4.616,CD8.EM
0.699,0.51,CD8.CM
1.392,1.376,CD8.CM
0.297,0.064,CD8.TPEX
-6.86,-0.358,CD8.TPEX
-6.284,-0.23,CD8.TPEX
-6.479,-1.247,CD8.TPEX
-6.791,-3.065,CD8.TEX
-6.069,-0.551,CD8.TPEX
-6.445,-3.259,CD8.TEX
7.19,4.454,CD8.NaiveLike
-7.154,-2.352,CD8.TPEX
-6.872,-3.583,CD8.TEX
-6.366,-0.714,CD8.TPEX
-5.406,-3.105,CD8.TEX
-1.062,-1.14,CD8.EM
3.21,2.581,CD8.CM
-1.069,-0.835,CD8.EM
-6.641,-0.627,CD8.TPEX
-6.326,-0.518,CD8.TPEX
1.342,1.917,CD8.CM
1.429,2.936,CD8.CM
-3.839,-3.92,CD8.TEX
-0.575,-2.426,CD8.EM
-2.682,-1.239,CD8.EM
-5.381,-3.874,CD8.TEX
0.93,3.265,CD8.CM
1.409,1.674,CD8.CM
-6.601,-3.89,CD8.TEX
-6.0,-1.857,CD8.TPEX
1.477,2.699,CD8.CM
5.986,3.264,CD8.NaiveLike
-1.336,-0.771,CD8.EM
2.005,2.913,CD8.CM
-5.9,-0.348,CD8.TPEX
-4.628,-1.132,CD8.CM
-6.277,-0.413,CD8.TPEX
4.781,3.544,CD8.CM
-6.721,-3.274,CD8.TEX
4.749,3.115,CD8.NaiveLike
1.856,2.426,CD8.CM
3.324,2.366,CD8.CM
-1.11,-2.514,CD8.EM
-7.17,-3.523,CD8.TEX
1.939,2.072,CD8.CM
-3.922,-3.258,CD8.TEX
